Users,data,tweet
@Fxhedgers,2020-04-07 17:50:55+00:00,"NEW JERSERY GOVERNOR SAYS JUST UNDER 1,000 OF THE STATE'S 1,232 TOTAL DEATHS HAVE BEEN RECORDED IN PAST WEEK"
@Fxhedgers,2020-04-07 17:48:37+00:00,THE PRIME MINISTER’S CONDITION IS STABLE AND HE REMAINS IN INTENSIVE CARE FOR CLOSE MONITORING. HE IS IN GOOD SPIRITS.”
@Fxhedgers,2020-04-07 17:28:28+00:00,"Little, if anything, left for the CTA crowd to cover "
@Fxhedgers,2020-04-07 17:22:04+00:00,FORMER FED CHAIR BERNANKE SAYS WE MAY SEE A CRISIS IN EMERGING MARKETS AND A GLOBAL RECESSION - BLOOMBERG
@Fxhedgers,2020-04-07 17:20:15+00:00,NEW JERSEY GOVERNOR MURPHY SAYS TO SIGN EXECUTIVE ORDER EXTENDING STATE'S PUBLIC HEALTH EMERGENCY BY 30 DAYS
@Fxhedgers,2020-04-07 17:19:26+00:00,NEW JERSEY GOVERNOR SAYS TO SIGN EXECUTIVE ORDER TO CLOSE ALL STATE AND COUNTY PARKS
@Fxhedgers,2020-04-07 17:06:31+00:00,"NEW JERSEY CORONAVIRUS DEATHS RISE BY 229 IN PAST 24 HOURS TO 1,232 -STATE HEALTH DEPARTMENT DATA"
@Fxhedgers,2020-04-07 17:06:19+00:00,"[RTRS] 07 APR - NEW JERSEY CORONAVIRUS CASES INCREASE BY 3,326 IN PAST 24 HOURS TO 44,416 -STATE HEALTH DEPARTMENT DATA"
@Fxhedgers,2020-04-07 16:56:39+00:00,PENTAGON: NEARLY 27K NATIONAL GUARD TROOPS NOW MOBILIZED ACROSS THE U.S TO BATTLE COVID-19 - FOX NEWS
@Fxhedgers,2020-04-07 16:50:41+00:00,"SENIOR U.S. ADMINISTRATION OFFICIAL SAYS COOPERATION WITH CHINA'S MEDICAL AND DISEASE EXPERTS IN WUHAN IS ""CRITICAL"" TO SAVING LIVES GLOBALLY"
